project_id,date,equipment,hours_used,hourly_cost_estimated,cost_estimated,maintenance_flag,is_synthetic,source
P.S. 239 - QUEENS,2024-09-17,bulldozer,7.34,135.57,995.08,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-06-02,bulldozer,6.59,112.31,740.12,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-04-24,crane,10.93,671.55,7340.04,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-12-23,dump_truck,2.38,104.83,249.5,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-07-23,loader,0.66,113.46,74.88,False,True,synthetic_generator_v1
P.S. 239 - QUEENS,2024-12-05,excavator,3.76,189.75,713.46,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-01-05,bulldozer,3.05,133.1,405.95,True,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-09-04,dump_truck,8.44,87.5,738.5,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-12-14,dump_truck,5.33,106.14,565.73,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-11-09,crane,14.38,530.48,7628.3,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-01-21,loader,16.93,116.89,1978.95,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-08-21,excavator,4.11,145.6,598.42,True,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-10-28,excavator,10.71,203.61,2180.66,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-11-07,dump_truck,9.12,89.16,813.14,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-10-29,crane,0.92,595.62,547.97,True,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-04-27,dump_truck,8.62,90.49,780.02,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-09-28,crane,25.58,534.77,13679.42,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-08-08,excavator,11.47,206.28,2366.03,False,True,synthetic_generator_v1
MID-MAN ADULT LEARNING CENTER - M,2024-05-20,dump_truck,10.46,99.76,1043.49,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-09-25,dump_truck,9.74,110.17,1073.06,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-02-28,excavator,20.0,148.65,2973.0,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-10-22,crane,4.33,574.67,2488.32,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-01-26,bulldozer,1.4,162.88,228.03,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-02-10,dump_truck,19.03,129.31,2460.77,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-10-06,bulldozer,16.25,111.83,1817.24,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-01-21,bulldozer,1.01,175.67,177.43,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-12-02,bulldozer,6.19,109.36,676.94,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-10-28,excavator,9.1,129.61,1179.45,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-08-28,bulldozer,3.34,116.39,388.74,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-05-06,excavator,8.62,150.07,1293.6,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-10-18,excavator,5.5,139.66,768.13,False,True,synthetic_generator_v1
P.S. 209 - BROOKLYN,2024-03-27,dump_truck,5.42,89.6,485.63,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-05-19,dump_truck,9.03,123.99,1119.63,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-10-15,bulldozer,14.21,111.5,1584.42,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-04-10,crane,1.65,507.06,836.65,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-09-29,bulldozer,20.59,142.47,2933.46,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-10-14,excavator,5.12,200.63,1027.23,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-01-23,crane,3.03,540.12,1636.56,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-02-07,excavator,3.68,159.72,587.77,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-04-19,crane,14.32,511.26,7321.24,True,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-01-06,dump_truck,15.24,112.65,1716.79,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-04-17,excavator,19.82,150.67,2986.28,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-03-01,excavator,11.33,168.32,1907.07,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-05-03,excavator,7.81,162.84,1271.78,False,True,synthetic_generator_v1
P.S. 55 - BRONX,2024-03-26,excavator,14.8,209.3,3097.64,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-10-02,bulldozer,5.44,108.47,590.08,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-11-05,excavator,1.91,148.16,282.99,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-09-15,bulldozer,17.94,162.7,2918.84,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-02-13,dump_truck,10.66,108.85,1160.34,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-09-08,dump_truck,4.5,127.88,575.46,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-03-30,bulldozer,8.6,128.5,1105.1,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-09-16,loader,6.37,129.65,825.87,True,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-01-26,excavator,3.25,154.01,500.53,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-02-15,bulldozer,8.68,160.46,1392.79,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-03-17,loader,3.55,125.73,446.34,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-09-18,crane,9.35,697.2,6518.82,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-01-26,bulldozer,4.7,148.99,700.25,False,True,synthetic_generator_v1
P.S. 56 - QUEENS,2024-10-09,excavator,11.04,176.25,1945.8,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-11-09,dump_truck,14.93,132.51,1978.37,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-09-13,loader,6.93,152.08,1053.91,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-09-25,excavator,11.6,193.83,2248.43,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-01-16,dump_truck,6.84,82.08,561.43,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-02-27,dump_truck,13.99,128.69,1800.37,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-07-12,bulldozer,14.27,140.84,2009.79,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-05-15,bulldozer,11.27,178.91,2016.32,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-01-02,dump_truck,4.16,114.77,477.44,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-11-08,bulldozer,8.34,128.28,1069.86,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-03-04,dump_truck,8.56,112.44,962.49,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-02-25,dump_truck,4.98,106.2,528.88,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-01-14,dump_truck,12.1,83.94,1015.67,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-04-09,crane,8.36,464.68,3884.72,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-01-16,loader,8.89,108.52,964.74,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-10-14,crane,0.9,601.04,540.94,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-07-04,crane,5.79,669.56,3876.75,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-12-02,dump_truck,7.17,131.91,945.79,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-06-25,loader,9.7,159.88,1550.84,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-03-13,dump_truck,0.87,107.31,93.36,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-03-16,loader,1.84,138.52,254.88,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-12-12,crane,0.74,635.08,469.96,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-07-12,bulldozer,9.03,135.74,1225.73,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-04-20,excavator,7.97,128.84,1026.85,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-03-15,crane,0.99,642.17,635.75,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-06-21,excavator,6.44,144.03,927.55,False,True,synthetic_generator_v1
NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,2024-05-03,dump_truck,11.72,121.39,1422.69,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-05-13,dump_truck,14.07,108.63,1528.42,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-09-08,dump_truck,2.97,100.96,299.85,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-04-28,dump_truck,6.67,105.37,702.82,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-06-12,loader,10.45,98.1,1025.14,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-08-18,excavator,6.95,169.01,1174.62,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-07-25,excavator,7.06,160.82,1135.39,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-07-25,loader,7.22,152.15,1098.52,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-01-08,bulldozer,14.62,163.63,2392.27,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-03-14,excavator,3.85,140.15,539.58,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-12-11,crane,2.38,425.86,1013.55,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-12-03,bulldozer,13.7,181.13,2481.48,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-12-17,bulldozer,7.17,135.58,972.11,False,True,synthetic_generator_v1
P.S. 28 - BRONX,2024-02-07,dump_truck,5.43,80.15,435.21,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-04-24,dump_truck,3.91,82.05,320.82,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-07-08,bulldozer,17.88,144.48,2583.3,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-10-13,bulldozer,8.35,105.22,878.59,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-09-06,bulldozer,9.08,119.14,1081.79,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-03-02,dump_truck,1.42,122.99,174.65,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-02-27,loader,2.6,110.34,286.88,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-06-19,dump_truck,3.7,89.45,330.97,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-02-14,bulldozer,8.2,129.37,1060.83,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-06-16,bulldozer,13.15,119.78,1575.11,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-03-29,bulldozer,2.43,136.72,332.23,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-09-25,excavator,2.71,141.43,383.28,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-06-11,excavator,17.58,205.75,3617.08,False,True,synthetic_generator_v1
CITY-AS-SCHOOL - MANHATTAN,2024-11-25,excavator,7.62,145.51,1108.79,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-10-19,excavator,1.43,165.98,237.35,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-12-08,loader,16.38,123.53,2023.42,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-05-03,excavator,2.38,136.35,324.51,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-03-02,loader,12.82,108.64,1392.76,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-04-20,crane,6.41,465.18,2981.8,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-10-25,crane,10.96,687.01,7529.63,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-06-15,crane,11.41,570.06,6504.38,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-07-29,crane,15.77,686.6,10827.68,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-06-16,dump_truck,12.55,107.53,1349.5,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-03-26,bulldozer,9.6,154.96,1487.62,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-05-05,dump_truck,12.65,94.25,1192.26,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-05-16,loader,2.35,104.8,246.28,False,True,synthetic_generator_v1
I.S. 391 - BRONX,2024-08-25,loader,9.33,116.87,1090.4,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-05-25,excavator,0.99,191.09,189.18,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-11-16,dump_truck,11.1,76.5,849.15,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-03-09,crane,12.11,578.9,7010.48,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-01-09,dump_truck,11.87,132.69,1575.03,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-07-13,excavator,21.04,192.94,4059.46,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-01-01,crane,4.28,503.57,2155.28,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-10-25,loader,4.64,155.29,720.55,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-04-27,loader,11.22,126.52,1419.55,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-06-16,dump_truck,10.86,96.9,1052.33,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-03-07,crane,10.03,422.48,4237.47,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-03-20,excavator,1.4,132.68,185.75,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-01-28,loader,14.4,130.51,1879.34,False,True,synthetic_generator_v1
P.S. 97 - QUEENS,2024-05-22,excavator,14.21,134.97,1917.92,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-12-28,bulldozer,0.72,156.08,112.38,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-06-11,crane,3.37,412.69,1390.77,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-09-13,excavator,8.89,194.71,1730.97,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-07-21,dump_truck,0.79,106.16,83.87,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-04-24,excavator,9.89,181.66,1796.62,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-07-14,dump_truck,16.64,107.72,1792.46,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-07-29,loader,10.86,130.92,1421.79,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-09-05,loader,5.25,137.11,719.83,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-03-30,bulldozer,1.42,157.73,223.98,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-10-29,dump_truck,8.63,92.48,798.1,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-02-28,dump_truck,5.2,116.55,606.06,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-03-25,loader,6.96,157.06,1093.14,False,True,synthetic_generator_v1
P.S. 215 - BROOKLYN,2024-03-12,excavator,7.07,161.47,1141.59,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-05-12,loader,8.8,130.53,1148.66,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-09-26,loader,4.09,97.59,399.14,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-02-15,bulldozer,4.7,109.76,515.87,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-02-27,dump_truck,26.9,90.15,2425.03,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-11-03,crane,10.11,699.57,7072.65,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-12-31,loader,10.82,147.82,1599.41,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-06-23,crane,9.98,694.3,6929.11,True,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-05-10,bulldozer,3.16,129.93,410.58,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-01-12,crane,5.27,508.09,2677.63,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-06-03,loader,9.04,103.01,931.21,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-01-17,crane,9.76,609.1,5944.82,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-10-17,loader,4.14,150.4,622.66,False,True,synthetic_generator_v1
P.S. 84 - BROOKLYN,2024-02-03,dump_truck,8.17,83.23,679.99,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-02-10,crane,2.07,427.69,885.32,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-09-14,bulldozer,28.99,145.61,4221.23,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-07-17,excavator,23.82,168.32,4009.38,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-10-28,dump_truck,7.17,131.97,946.22,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-09-10,dump_truck,17.82,85.85,1529.85,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-07-02,loader,18.23,163.01,2971.67,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-05-19,loader,14.93,153.06,2285.19,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-11-22,loader,16.05,101.48,1628.75,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-03-25,excavator,8.24,186.19,1534.21,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-06-24,crane,12.33,529.03,6522.94,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-07-16,dump_truck,16.21,131.5,2131.62,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-07-07,bulldozer,9.53,177.94,1695.77,False,True,synthetic_generator_v1
MURRAY HILL ACADEMY HS - M,2024-03-06,excavator,0.68,140.93,95.83,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-10-17,crane,6.5,695.02,4517.63,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-09-20,excavator,4.07,139.09,566.1,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-01-23,excavator,4.41,121.34,535.11,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-01-02,excavator,15.47,161.52,2498.71,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-01-24,excavator,10.25,165.71,1698.53,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-12-09,dump_truck,17.02,116.75,1987.09,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-10-07,excavator,0.68,193.6,131.65,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-07-15,excavator,2.19,141.17,309.16,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-06-12,crane,23.83,592.35,14115.7,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-09-18,excavator,7.95,190.47,1514.24,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-10-08,crane,0.77,458.5,353.05,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-10-28,bulldozer,13.47,106.72,1437.52,False,True,synthetic_generator_v1
Q993 SPED - QUEENS,2024-01-09,loader,6.8,156.14,1061.75,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-06-24,loader,6.09,108.36,659.91,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-05-22,loader,9.1,167.42,1523.52,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-10-13,dump_truck,0.52,120.89,62.86,True,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-02-15,loader,17.78,133.45,2372.74,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-09-21,crane,9.81,535.79,5256.1,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-08-02,excavator,11.78,155.05,1826.49,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-07-10,excavator,3.73,151.63,565.58,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-12-23,excavator,6.82,128.23,874.53,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-01-01,dump_truck,10.4,122.01,1268.9,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-12-02,excavator,14.53,148.35,2155.53,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-01-23,bulldozer,8.59,165.93,1425.34,False,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-10-18,crane,21.09,459.88,9698.87,True,True,synthetic_generator_v1
P.S. 138 - BROOKLYN,2024-02-06,loader,4.55,96.33,438.3,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-09-09,excavator,13.76,188.85,2598.58,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-03-07,loader,4.39,121.48,533.3,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-12-11,bulldozer,5.07,154.23,781.95,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-12-07,excavator,28.23,145.91,4119.04,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-04-20,bulldozer,13.28,164.28,2181.64,True,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-12-19,dump_truck,11.24,83.19,935.06,True,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-04-19,loader,10.87,99.28,1079.17,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-05-25,excavator,12.58,175.21,2204.14,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-04-23,bulldozer,9.45,172.68,1631.83,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-03-30,dump_truck,3.06,89.89,275.06,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-10-17,bulldozer,16.96,115.43,1957.69,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-02-06,excavator,25.69,171.25,4399.41,False,True,synthetic_generator_v1
P.S. / I.S. 270 - QUEENS,2024-11-25,excavator,14.0,155.8,2181.2,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-02-18,loader,4.24,99.62,422.39,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-06-22,crane,5.67,543.63,3082.38,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-12-24,dump_truck,8.37,131.81,1103.25,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-03-20,dump_truck,4.18,127.79,534.16,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-03-29,dump_truck,3.17,93.73,297.12,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-02-19,dump_truck,26.64,83.87,2234.3,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-09-01,crane,11.5,464.13,5337.49,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-03-06,crane,6.54,440.58,2881.39,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-01-31,bulldozer,11.99,181.02,2170.43,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-03-08,dump_truck,9.92,118.62,1176.71,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-07-03,dump_truck,2.27,76.58,173.84,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-11-17,excavator,3.33,131.48,437.83,False,True,synthetic_generator_v1
P.S. 128 - BROOKLYN,2024-01-26,bulldozer,17.89,121.08,2166.12,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-09-27,loader,13.7,125.21,1715.38,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-05-16,bulldozer,15.59,134.45,2096.08,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-12-11,bulldozer,5.0,142.95,714.75,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-07-24,dump_truck,3.49,132.45,462.25,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-11-21,bulldozer,6.91,177.87,1229.08,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-05-02,loader,0.72,157.72,113.56,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-10-31,dump_truck,13.06,97.79,1277.14,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-08-08,crane,9.95,453.12,4508.54,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-01-12,dump_truck,4.18,115.77,483.92,True,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-06-19,dump_truck,12.43,80.99,1006.71,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-07-23,dump_truck,3.09,84.13,259.96,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-07-09,dump_truck,1.52,101.46,154.22,False,True,synthetic_generator_v1
BOYS & GIRLS HS - BROOKLYN,2024-05-02,excavator,11.1,160.79,1784.77,False,True,synthetic_generator_v1
I.S. 109 - QUEENS,2024-05-27,bulldozer,13.89,168.61,2341.99,False,True,synthetic_generator_v1
I.S. 109 - QUEENS,2024-04-23,bulldozer,4.29,121.59,521.62,False,True,synthetic_generator_v1
I.S. 109 - QUEENS,2024-08-06,excavator,15.87,162.26,2575.07,False,True,synthetic_generator_v1
I.S. 109 - QUEENS,2024-01-26,dump_truck,5.52,131.64,726.65,True,True,synthetic_generator_v1
I.S. 109 - QUEENS,2024-04-05,loader,5.52,104.7,577.94,False,True,synthetic_generator_v1
I.S. 109 - QUEENS,2024-03-22,crane,3.28,514.34,1687.04,False,True,synthetic_generator_v1
I.S. 109 - QUEENS,2024-09-08,excavator,8.54,178.03,1520.38,False,True,synthetic_generator_v1
