Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
6,M115,P.S. 115 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,501021,501021.00,135288.00,"DSF0000961101, DSF0001018382"
6,M115,P.S. 115 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113607
6,M115,P.S. 115 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113607
6,M115,P.S. 115 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113607
6,M115,P.S. 115 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113607
6,M115,P.S. 115 - MANHATTAN,SCA IEH,PO18-ABATE WALL PLASTER IN ROOM 312 TO REPAIR CEILING AND WALLS 700 SQFT. WALL IS ACM AS PER AHERA B,Construction,Complete,2/4/2025,IEH,5/18/2025,IEH,20838.00,1325.00,SCA0000073866
6,M115,P.S. 115 - MANHATTAN,SCA IEH,"PO18-ACM DRILLING NEED IN CAFETERIA WALL (SPACE ID #2002) 3 HOLES 1/2' DIAMETER, 3' DEEP HOLES ARE M",Construction,Complete,2/28/2025,IEH,5/18/2025,IEH,9451.00,2066.00,SCA0000074004
6,M115,P.S. 115 - MANHATTAN,SCA IEH,PO18-ABATE AND REPAIR WALL IN THE CAFETERIA SPACE ID# 2002,Construction,Complete,6/13/2025,IEH,9/17/2025,IEH,5455.00,2025.00,SCA0000074364
6,M115,P.S. 115 - MANHATTAN,SCA IEH,"PO18-ABATE CEILING PLASTER FOR 204, 206, 210, 210B, 212, 215, 305",Construction,In-Progress,8/28/2025,IEH,,IEH,28799.00,790.00,SCA0000074862
6,M115,P.S. 115 - MANHATTAN,Fast Track Projects,CTF ROOM CONVERSION,Construction,In-Progress,9/19/2024,FTK,,FTK,1290486.00,831153.00,DSF0001112043
6,M115,P.S. 115 - MANHATTAN,Fast Track Projects,PATH OF TRAVEL CTF ROOM CONVERSION,Construction,In-Progress,11/7/2024,FTK,,FTK,305680.00,89316.00,DSF0001112044
6,M115,P.S. 115 - MANHATTAN,DOE - RESOA,FY17 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,35000.00,0.00,DSF0000844916
6,M115,P.S. 115 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,300000.00,0.00,DSF0001035668
6,M115,P.S. 115 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,11/15/2023,DOER,,DOER,274048.00,0.00,DSF0001086216
6,M115,P.S. 115 - MANHATTAN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,335000.00,0.00,DSF0001112800
6,M115,KIPP NYC WASHINGTON HEIGHTS ACADEMY I CS,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,1/14/2022,DOES,,DOES,165210.00,0.00,DSF0001008692
6,M115,P.S. 115 - MANHATTAN,DOE - Skilled Trades,WATER MAIN REPLACEMENT,Construction,In-Progress,7/15/2024,DOES,,DOES,166413.00,0.00,DSF0001112039
6,M128,P.S. 128 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / FIRE ALARM UPGRADE,Scope,Complete,10/5/2023,3/5/2024,3/17/2025,345944,45411.00,33411.00,"DSF0001085597, DSF0001124724, DSF0001124720"
6,M128,P.S. 128 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / FIRE ALARM UPGRADE,Design,In-Progress,4/22/2025,11/17/2025,,1700498,1700498.00,51111.00,"DSF0001085597, DSF0001124724, DSF0001124720"
6,M128,P.S. 128 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / FIRE ALARM UPGRADE,Construction,PNS,PNS,PNS,PNS,35543933,35543933.00,0.00,"DSF0001085597, DSF0001124724, DSF0001124720"
6,M128,P.S. 128 - MANHATTAN,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / FIRE ALARM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,2450819,2450819.00,102895.00,"DSF0001085597, DSF0001124724, DSF0001124720"
6,M128,P.S. 128 - MANHATTAN,SCA Emergency Response,TEMPORARY BOILER,Construction,In-Progress,3/11/2024,EMER,,EMER,1011602.00,911147.00,SCA0000071820
6,M128,P.S. 128 - MANHATTAN,SCA IEH,PO18-ABATE & REPAIR/REPLACE DAMAGED AREAS IN ROOM G08 - SLOP SINK (SPACE ID# 2G08) CERAMIC TILE MAST,Construction,In-Progress,8/11/2025,IEH,,IEH,831.00,81.00,SCA0000074644
6,M128,P.S. 128 - MANHATTAN,Fast Track Projects,FY23 RESO A IPDVS CAMERA INSTALLATION,Construction,In-Progress,1/15/2025,FTK,,FTK,147987.00,11588.00,DSF0001035682
6,M128,P.S. 513 - MANHATTAN,DIIT - RESOA,RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001114320
6,M128,P.S. 513 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,73000.00,0.00,DSF0001163615
6,M128,P.S. 513 - MANHATTAN,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,300000.00,0.00,DSF0001112806
6,M132,P.S. 132 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID ELECTRICAL SYSTEM UPGRADE / COVID FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,12/15/2020,4/5/2021,11/16/2021,120420,129719.00,129719.00,"DSF0000993115, DSF0001018640, DSF0001018630"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID ELECTRICAL SYSTEM UPGRADE / COVID FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,11/29/2021,5/23/2022,8/30/2022,595229,462039.00,426266.00,"DSF0000993115, DSF0001018640, DSF0001018630"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID ELECTRICAL SYSTEM UPGRADE / COVID FIRE ALARM SYSTEM REPLACEMENT,Construction,In-Progress,8/7/2023,8/5/2025,,12798419,12930019.00,10231558.00,"DSF0000993115, DSF0001018640, DSF0001018630"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,COVID VENTILATION / COVID ELECTRICAL SYSTEM UPGRADE / COVID FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,894461,525050.00,516704.00,"DSF0000993115, DSF0001018640, DSF0001018630"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS / FY16 RESO A PLAYGROUND REDEVELOPMENT / WATER INFILTRATION / BOILER REPAIR / RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,4/6/2015,2/1/2018,12/18/2017,157058,161902.00,161902.00,"DSF0000809387, DSF0000822927, DSF0000853418, DSF0000888992, DSF0000876030"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS / FY16 RESO A PLAYGROUND REDEVELOPMENT / WATER INFILTRATION / BOILER REPAIR / RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,1/26/2018,6/27/2018,5/9/2018,635343,1602541.00,1155055.00,"DSF0000809387, DSF0000822927, DSF0000853418, DSF0000888992, DSF0000876030"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS / FY16 RESO A PLAYGROUND REDEVELOPMENT / WATER INFILTRATION / BOILER REPAIR / RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,7/16/2018,11/1/2020,,11140918,11646285.00,10327611.00,"DSF0000809387, DSF0000822927, DSF0000853418, DSF0000888992, DSF0000876030"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS / FY16 RESO A PLAYGROUND REDEVELOPMENT / WATER INFILTRATION / BOILER REPAIR / RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,7/16/2018,11/1/2020,,889516,1873437.00,1838157.00,"DSF0000809387, DSF0000822927, DSF0000853418, DSF0000888992, DSF0000876030"
6,M132,P.S. 132 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/3/2024,11/1/2024,7/9/2024,4000,146.00,146.00,DSF0001087481
6,M132,P.S. 132 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/9/2024,1/6/2025,12/26/2024,17998,583.00,583.00,DSF0001087481
6,M132,P.S. 132 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,7/30/2025,6/24/2026,,231971,224706.00,9481.00,DSF0001087481
6,M132,P.S. 132 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,7/30/2025,6/24/2026,,47259,30391.00,8794.00,DSF0001087481
6,M132,P.S. 132 - MANHATTAN,SCA Emergency Response,HEATING PLANT UPGRADE @ M132,Construction,In-Progress,6/7/2024,EMER,,EMER,4712784.00,4427353.00,SCA0000073057
6,M132,P.S. 132 - MANHATTAN,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,Complete,12/27/2018,FTK,3/14/2024,FTK,225031.00,209415.00,DSF0000868317
6,M132,P.S. 132 - MANHATTAN,Fast Track Projects,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,38400.00,0.00,DSF0000867266
6,M132,DOS PUENTES ELEMENTARY SCHOOL,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,150000.00,0.00,DSF0001008530
6,M132,DOS PUENTES ELEMENTARY SCHOOL,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,200000.00,0.00,DSF0001086226
6,M132,P.S. 132 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/6/2025,DIIR,6/5/2025,DIIR,79000.00,79000.00,DSF0001112811
6,M132,DOS PUENTES ELEMENTARY SCHOOL,DOE - RESOA,FY21 RESO A ELECTRICAL UPGRADE,Construction,Complete,8/30/2021,DOER,11/22/2021,DOER,51697.00,51001.00,DSF0000961372
6,M132,P.S. 132 - MANHATTAN,DOE - RESOA,FY21 RESO A SECURITY LIGHTING,Construction,In-Progress,7/1/2022,DOER,,DOER,20721.00,0.00,DSF0001008529
6,M132,DOS PUENTES ELEMENTARY SCHOOL,DOE - RESOA,FY22 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,7/31/2023,DOER,,DOER,152641.00,0.00,DSF0001033645
6,M132,P.S. 132 - MANHATTAN,DOE - RESOA,FY23 RESO A EXTERIOR UPGRADES,Construction,In-Progress,7/26/2024,DOER,,DOER,374782.00,0.00,DSF0001035687
6,M132,P.S. 132 - MANHATTAN,DOE - RESOA,RESO A ELECTRICAL UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001085117
6,M132,P.S. 132 - MANHATTAN,DOE - RESOA,FY24 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,113836.00,0.00,DSF0001086227
6,M132,DOS PUENTES ELEMENTARY SCHOOL,DOE - RESOA,FY25 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,275000.00,0.00,DSF0001112809
6,M132,P.S. 132 - MANHATTAN,DOE - RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,0.00,DSF0001112810
6,M132,P.S. 132 - MANHATTAN,DOE - RESOA,FY26 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001163669
6,M143,I.S. 143 - MANHATTAN,SCA CIP,FACADE REMEDIATION @ M143 / WINDOWS,Scope,Complete,7/8/2021,11/23/2021,11/15/2021,256450,151291.00,151291.00,"DSF0001034320, DSF0001018768"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,FACADE REMEDIATION @ M143 / WINDOWS,Design,Complete,12/1/2021,5/19/2022,5/11/2022,1282250,1048511.00,623121.00,"DSF0001034320, DSF0001018768"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,FACADE REMEDIATION @ M143 / WINDOWS,Construction,In-Progress,7/18/2022,7/16/2024,,28850625,26111360.00,6901470.00,"DSF0001034320, DSF0001018768"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,FACADE REMEDIATION @ M143 / WINDOWS,"CM,F&E",In-Progress,7/18/2022,7/16/2024,,1795150,542071.00,534197.00,"DSF0001034320, DSF0001018768"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS ELECTRICAL SERVICE UPGRADE / DCAS LIGHTING UPGRADE,Scope,Complete,8/31/2023,1/30/2024,2/26/2024,748678,288559.00,288559.00,"DSF0001085598, DSF0001111921, DSF0001112080"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS ELECTRICAL SERVICE UPGRADE / DCAS LIGHTING UPGRADE,Design,Complete,7/2/2024,1/29/2025,4/15/2025,3493829,1173326.00,1098242.00,"DSF0001085598, DSF0001111921, DSF0001112080"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS ELECTRICAL SERVICE UPGRADE / DCAS LIGHTING UPGRADE,Construction,PNS,PNS,PNS,PNS,55402139,55402139.00,503188.00,"DSF0001085598, DSF0001111921, DSF0001112080"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,DCAS ELECTRIFICATION/HEAT PUMP SYSTEMS / DCAS ELECTRICAL SERVICE UPGRADE / DCAS LIGHTING UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,5490301,5490301.00,159007.00,"DSF0001085598, DSF0001111921, DSF0001112080"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,WATER MAIN / BACKFLOW PREVENTION / LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,10/10/2018,4/10/2019,9/6/2019,31096,35521.00,35521.00,"DSF0000889654, DSF0000960508"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,WATER MAIN / BACKFLOW PREVENTION / LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,9/11/2019,5/20/2020,4/15/2020,147389,144189.00,144189.00,"DSF0000889654, DSF0000960508"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,WATER MAIN / BACKFLOW PREVENTION / LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,9/15/2021,1/17/2023,,2616721,2391403.00,2092862.00,"DSF0000889654, DSF0000960508"
6,M143,I.S. 143 - MANHATTAN,SCA CIP,WATER MAIN / BACKFLOW PREVENTION / LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,9/15/2021,1/17/2023,,278322,60814.00,57677.00,"DSF0000889654, DSF0000960508"
6,M143,I.S. 143 - MANHATTAN,SCA Emergency Response,EMERGENCY TEMPORARY BOILER @ M143,Construction,In-Progress,5/22/2023,EMER,,EMER,1086610.00,1060942.00,SCA0000072012
6,M143,I.S. 143 - MANHATTAN,SCA IEH,"PO18-ABATE 9X9  FLOOR TILES ROOM 453, SPACE ID# 5453 CONTAINS ACM AHERA BOOK: 10/19/2018 MEASURING 3",Construction,Complete,2/18/2025,IEH,4/17/2025,IEH,29923.00,29923.00,SCA0000073926
6,M143,I.S. 143 - MANHATTAN,SCA IEH,"PO18-ABATE & REPLACE FLOOR TILES RM 300,326, 332, 333, 230, B6, B6G DUE TO DAMAGE ROOM 300- SPACE ID",Construction,In-Progress,6/4/2025,IEH,,IEH,912.00,162.00,SCA0000074345
6,M143,I.S. 143 - MANHATTAN,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED IN THE AHERA IN THE PERIODIC SURVEAILLANCE AS RESPONSE ACTION DUE TO,Construction,In-Progress,8/22/2025,IEH,,IEH,831.00,81.00,SCA0000074832
6,M143,I.S. 348 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,150000.00,0.00,DSF0001033689
6,M143,I.S. 348 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,125000.00,0.00,DSF0001086231
6,M143,I.S. 348 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001112814
6,M143,I.S. 348 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001163672
6,M143,I.S. 143 - MANHATTAN,DOE - RESOA,FY14 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,50000.00,0.00,DSF0000798849
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Scope,Complete,6/25/2018,9/24/2018,10/9/2018,67246,94412.00,94412.00,"DSF0000912306, DSF0000960652"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Design,Complete,10/16/2018,3/6/2019,4/29/2019,269075,385602.00,377935.00,"DSF0000912306, DSF0000960652"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,Construction,Complete,7/31/2019,1/20/2021,7/10/2024,5040282,5381027.00,4756253.00,"DSF0000912306, DSF0000960652"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PLAYGROUND REDEVELOPMENT / PATH OF TRAVEL PLAYGROUND REDEVELOPMENT,"CM,F&E",Complete,7/31/2019,1/20/2021,7/10/2024,314939,930624.00,915827.00,"DSF0000912306, DSF0000960652"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PATH OF TRAVEL NYS AUDITORIUM UPGRADE,Scope,Complete,8/31/2021,12/3/2021,3/25/2022,18602,18602.00,18602.00,DSF0001009248
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PATH OF TRAVEL NYS AUDITORIUM UPGRADE,Design,Complete,3/25/2022,7/25/2022,1/3/2024,16212,16212.00,16212.00,DSF0001009248
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PATH OF TRAVEL NYS AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,46472,46472.00,188.00,DSF0001009248
6,M152,P.S. 152 - MANHATTAN,SCA CIP,PATH OF TRAVEL NYS AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,8613,8613.00,6427.00,DSF0001009248
6,M152,P.S. 152 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / EMERGENCY GENERATOR / FLOOD ELIMINATION,Scope,Complete,5/30/2023,10/16/2023,9/25/2023,229330,269604.00,231335.00,"DSF0001018857, DSF0001018858, DSF0001018859, DSF0001018860, DSF0001087210, DSF0001087209"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / EMERGENCY GENERATOR / FLOOD ELIMINATION,Design,Complete,10/25/2023,6/10/2024,4/25/2024,1131307,495966.00,487547.00,"DSF0001018857, DSF0001018858, DSF0001018859, DSF0001018860, DSF0001087210, DSF0001087209"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / EMERGENCY GENERATOR / FLOOD ELIMINATION,Construction,In-Progress,8/15/2024,2/10/2027,,24127238,21858007.00,4775155.00,"DSF0001018857, DSF0001018858, DSF0001018859, DSF0001018860, DSF0001087210, DSF0001087209"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / EMERGENCY GENERATOR / FLOOD ELIMINATION,"CM,F&E",In-Progress,8/15/2024,2/10/2027,,1720382,285623.00,252995.00,"DSF0001018857, DSF0001018858, DSF0001018859, DSF0001018860, DSF0001087210, DSF0001087209"
6,M152,P.S. 152 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/27/2023,10/27/2023,10/5/2023,10634,18810.00,18810.00,DSF0001083803
6,M152,P.S. 152 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/17/2023,3/18/2024,4/10/2024,47852,60983.00,55504.00,DSF0001083803
6,M152,P.S. 152 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,In-Progress,10/4/2024,10/3/2025,,616753,549511.00,164431.00,DSF0001083803
6,M152,P.S. 152 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",In-Progress,10/4/2024,10/3/2025,,114312,77589.00,75949.00,DSF0001083803
6,M152,P.S. 152 - MANHATTAN,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,Scope,Complete,11/2/2023,3/7/2024,11/17/2023,0,4574.00,4574.00,DSF0001086235
6,M152,P.S. 152 - MANHATTAN,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,Design,Complete,11/17/2023,5/15/2024,4/2/2024,27000,18298.00,18298.00,DSF0001086235
6,M152,P.S. 152 - MANHATTAN,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/19/2025,4/13/2026,,396000,240165.00,9899.00,DSF0001086235
6,M152,P.S. 152 - MANHATTAN,SCA CIP RESOA,FY24 RESO A IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/19/2025,4/13/2026,,30740,33674.00,9441.00,DSF0001086235
6,M152,P.S. 152 - MANHATTAN,SCA IEH,"PO18-ROOM CLOSER, APPROX 80 SQ ABATEMENT NEEDED - IN WALL AND CEILINGS IN RM 217 DUE TO WATER DAMAGE",Construction,In-Progress,6/21/2024,IEH,,IEH,720.00,145.00,SCA0000073328
6,M153,P.S. 153 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/30/2025,12/1/2025,8/1/2025,5887,758.00,758.00,DSF0001087484
6,M153,P.S. 153 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,In-Progress,8/1/2025,1/30/2026,,23547,23547.00,3031.00,DSF0001087484
6,M153,P.S. 153 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,338490,338490.00,0.00,DSF0001087484
6,M153,P.S. 153 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,86830,86830.00,534.00,DSF0001087484
6,M153,P.S. 153 - MANHATTAN,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,75000,75000.00,0.00,DSF0001112819
6,M153,P.S. 368 - MANHATTAN,Fast Track Projects,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,FTK,FTK,FTK,FTK,660000.00,0.00,DSF0001112818
6,M153,P.S. 153 - MANHATTAN,DIIT - Project Connect,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,11/1/2019,DIIT,,DIIT,241250.00,0.00,DSF0000960019
6,M153,P.S. 153 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/3/2025,DIIR,5/2/2025,DIIR,175000.00,175000.00,DSF0001033174
6,M153,P.S. 368 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,101000.00,0.00,DSF0001163476
6,M153,P.S. 368 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001163673
6,M153,P.S. 153 - MANHATTAN,DOE - RESOA,FY20 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,8/8/2022,DOER,,DOER,285143.00,0.00,DSF0000913322
6,M164,I.S. 328 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,7/20/2022,12/6/2022,5/4/2023,77350,148063.00,143487.00,"DSF0001018989, DSF0001018990, DSF0001018991"
6,M164,I.S. 328 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,6/14/2023,11/16/2023,10/27/2023,386750,467009.00,382823.00,"DSF0001018989, DSF0001018990, DSF0001018991"
6,M164,I.S. 328 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,8/15/2024,2/10/2027,,8701876,7939254.00,193054.00,"DSF0001018989, DSF0001018990, DSF0001018991"
6,M164,I.S. 328 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,8/15/2024,2/10/2027,,541450,431049.00,379279.00,"DSF0001018989, DSF0001018990, DSF0001018991"
6,M164,I.S. 328 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,Scope,Complete,10/12/2022,7/14/2023,9/28/2023,16926,84803.00,48889.00,"DSF0001035195, DSF0001083872"
6,M164,I.S. 328 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,Design,Complete,10/11/2023,2/15/2024,4/19/2024,82502,89473.00,61519.00,"DSF0001035195, DSF0001083872"
6,M164,I.S. 328 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,Construction,In-Progress,8/11/2025,1/12/2027,,1672457,1564401.00,70907.00,"DSF0001035195, DSF0001083872"
6,M164,I.S. 328 - MANHATTAN,SCA CIP,SCIENCE LAB UPGRADES / PATH OF TRAVEL SCIENCE LAB UPGRADE,"CM,F&E",In-Progress,8/11/2025,1/12/2027,,134418,110544.00,110174.00,"DSF0001035195, DSF0001083872"
6,M164,I.S. 328 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,5/3/2022,EMER,,EMER,1008764.00,1000854.00,SCA0000071088
